scenario_id,driver_id,label,sensitivity_only,nominal_band_covers_target,profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_500_db,spl_6500_db,level_6500_relative_mid_db,max_excursion_mm,max_throat_speed_m_s
beyma-6mcf200nd,beyma-6mcf200nd,Beyma 6MCF200Nd,False,True,hyperbolic,0.052,0.21,0.125,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.592216577770813,11.505601571141199,106.97849211541363,99.29732026042421,104.25859873901926,-3.763623150821374,0.05164258390736331,0.8011166352672668
beyma-6mi90,beyma-6mi90,Beyma 6MI90,False,True,exponential,0.052,0.28,0.2,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.592216577770813,11.505941063331974,105.88489504536328,103.89463510573007,98.08316960261523,-9.673747108401528,0.044615511340557926,0.6837392249944734
lavoce-maf061-50,lavoce-maf061-50,LaVoce MAF061.50,False,False,exponential,0.052,0.245,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.2155184876124805,11.506155474020403,105.78150663539385,104.0571661104959,97.9372111769686,-9.729646793213831,0.05232582462987462,0.7458382822387236
beyma-6mi90,beyma-6mi90,Beyma 6MI90,False,True,conical,0.047,0.21,0.2,0.064,0.1,79.40403012442127,7.7020150622106325,17.349445429449634,8.069422193885142,11.507618772473336,103.92886024713765,105.9286488487484,95.87896310176127,-8.869083216149662,0.042122921856780404,0.8535965432717716
phl-1660ndm-sq2,phl-1660ndm-sq2,PHL 1660NdM-SQ2,False,False,conical,0.068,0.28,0.125,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,4.130318592350225,11.511540443265915,101.40509243852071,104.28818930232053,93.27849837140101,-9.994950230845731,0.07702919731129611,0.7193561967548345
redcatt-dr-6p5-006-8r-b2-c0001,redcatt-dr-6p5-006-8r-b2-c0001,REDCATT 6NPM,False,False,exponential,0.042,0.21,0.3,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,10.328831000657695,11.511829591509454,106.62567225119656,102.90600969764112,101.42583809146514,-5.952136098763361,0.0410681441888174,0.9832898294666514
lavoce-maf061-50,lavoce-maf061-50,LaVoce MAF061.50,False,False,conical,0.052,0.21,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.2155184876124805,11.513566975111729,104.29415176558449,101.89205444494335,96.9742923823431,-9.011395530800499,0.05736611693783079,0.8142952173375994
beyma-6mi90,beyma-6mi90,Beyma 6MI90,False,True,exponential,0.06,0.245,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.951487118414522,11.514731339680367,104.59142269925384,106.02039461773029,96.26926040351549,-10.482124851790289,0.051405800307354546,0.5753143933856536
bc-6mdn44-8,bc-6mdn44-8,BC 6MDN44,False,False,exponential,0.052,0.28,0.125,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.2155184876124805,11.517450807127702,103.7063152184808,99.64107151753217,96.78137625480652,-8.611683411264124,0.05786247860176307,0.8224490644884462
bc-6pev13,bc-6pev13,BC 6PEV13,False,True,conical,0.068,0.28,0.25,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,3.6346803612681975,11.518194557511237,104.50172482229964,105.77981323428729,96.4178513649154,-10.622374898641695,0.08200957301828057,0.6708637741315452
