profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_7000_db,level_7000_relative_mid_db,max_excursion_mm,max_throat_speed_m_s,max_input_power_w
conical,0.06,0.21,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.776559405323297,105.46385607708481,103.96252614366381,-1.9812506382033916,0.09332202538816119,0.7624851868816414,1.4575530102390506
conical,0.06,0.18,0.2,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.786256203584188,104.34298164471909,102.75443669413868,-1.3970067058211129,0.11029259270535521,0.7392359182954746,1.4551378745648413
hyperbolic,0.076,0.21,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.797393530534478,104.69247744826053,102.21080415917672,-3.2915854774499707,0.11273395333015276,0.47049447941543565,1.4734801326102736
os,0.076,0.32,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.816470013927585,107.2920141978644,105.26176445171016,-3.980118536217617,0.12140989523493027,0.5034544833680203,1.466616704361616
conical,0.06,0.28,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.85847630427456,106.78392563510053,106.13956475362184,-1.096268343883665,0.11509849095545588,0.7668384572234893,1.4627079869324369
exponential,0.06,0.245,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.927091200828698,106.55783922744752,104.91822566469753,-2.4226441193624026,0.10342876686794247,0.6949362370418909,1.458108703120179
conical,0.052,0.21,0.25,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,8.929796940297066,105.78703062111188,104.49675447687963,-1.510893249538924,0.09474090665020453,0.851451526470999,1.4501590762623437
os,0.06,0.28,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.958992481552627,107.59993976630246,105.60839686167334,-3.8576445256102687,0.08914748253903913,0.6027085533458253,1.4500380692356158
exponential,0.06,0.32,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.973793364021475,108.34260165358423,106.64679069064567,-2.8817288756210218,0.0997201875882173,0.669409032313583,1.4566850986690976
exponential,0.052,0.245,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,9.060726459582,107.15238516860389,105.41459073580148,-2.674335575896336,0.07731475967065804,0.7790431735776969,1.4490355942358653
conical,0.06,0.21,0.2,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.063357822654083,105.10898914230836,104.07291281132545,-0.8608678999887047,0.11893853969859701,0.7934791071272281,1.458712287680679
hyperbolic,0.076,0.18,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,9.114320234507943,103.76158433124068,100.9843182936178,-3.217453020331959,0.10566780300845244,0.44269954196923894,1.4718491543945764
hyperbolic,0.06,0.18,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.155497697161621,104.91067882276917,102.255570233871,-3.5195732584796104,0.07152762873546904,0.6513422790901808,1.4641183785087295
os,0.06,0.18,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.23046136693712,104.79201952182827,102.37032331427885,-3.3652914841175345,0.08092253334641235,0.553141271807119,1.4635721894636315
conical,0.06,0.245,0.2,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.30118044615287,105.80365819168787,105.2003717339852,-0.5667625317712179,0.12664154129909513,0.8416586409164482,1.4620733138587785
